Number One, Number Two, Their GCD, Time Spent (Nanoseconds)
20637, 12033, 9, 53600
15887, 548, 1, 2600
21082, 31688, 2, 47800
8955, 11737, 1, 18300
2829, 15480, 3, 5800
17876, 9946, 2, 20600
19115, 4095, 5, 8500
23898, 20018, 2, 41400
7710, 32625, 15, 16000
32486, 4653, 1, 9700
28567, 27912, 1, 57900
24920, 30069, 1, 52100
294, 29801, 1, 800
19536, 4475, 1, 9500
30088, 8232, 8, 16800
1953, 6168, 3, 4200
23360, 6287, 1, 13100
24322, 6261, 1, 12600
28137, 12187, 1, 24900
3591, 2856, 21, 5900
458, 28232, 2, 1000
10320, 27039, 3, 21400
19883, 1806, 1, 3800
20993, 21698, 1, 42200
1767, 20908, 1, 3800
23665, 3796, 1, 7700
963, 13348, 1, 2200
6951, 19610, 1, 14100
22526, 7431, 1, 15100
1282, 8640, 2, 2700
8105, 29426, 1, 16300
30135, 3192, 21, 6700
27705, 7513, 1, 15200
9089, 25700, 1, 18300
2011, 2691, 1, 4000
7443, 12470, 1, 15100
775, 22230, 5, 1700
25554, 10646, 2, 21500
16472, 31061, 1, 33300
30273, 26820, 3, 53900
29339, 6503, 1, 17300
24252, 3454, 2, 7300
16678, 29146, 2, 33600
6762, 22436, 2, 14000
1643, 25895, 1, 3400
27757, 32282, 1, 56200
23756, 9976, 4, 20100
29019, 17518, 1, 35300
28081, 7911, 1, 17600
1778, 5050, 2, 3700
14040, 26761, 1, 35200
23559, 6860, 1, 13900
14829, 5291, 1, 10700
15552, 14725, 1, 30100
19035, 4059, 9, 8400
28419, 15231, 3, 30700
28001, 21035, 1, 42200
13102, 9714, 2, 19600
104, 15409, 1, 400
15625, 7385, 5, 14900
6548, 17746, 2, 13300
14585, 9040, 5, 18200
22169, 24385, 1, 44600
12662, 15169, 1, 25500
3536, 12994, 2, 7500
26814, 10303, 1, 20900
5514, 6580, 2, 11200
31435, 22962, 1, 50800
5540, 31310, 10, 11300
23427, 16437, 3, 33200
5979, 26537, 1, 12100
1328, 4668, 4, 2900
18274, 11134, 2, 22400
27439, 17402, 1, 35000
7730, 7474, 2, 15100
1260, 13954, 2, 3000
25250, 27151, 1, 50900
1294, 25132, 2, 2700
15031, 13013, 1, 26100
4334, 58, 2, 200
16061, 8817, 1, 17700
3150, 30651, 3, 6800
17046, 25100, 2, 34400
19784, 4528, 8, 9100
18771, 3655, 1, 7400
19588, 14446, 2, 29200
22273, 4549, 1, 10400
9646, 17987, 1, 19700
5317, 2283, 1, 4700
31783, 10076, 1, 20300
31532, 4835, 1, 9800
6139, 21222, 1, 12500
30396, 13287, 3, 27000
20244, 24436, 4, 41000
15055, 11452, 1, 23000
3757, 13985, 1, 7700
13985, 27516, 1, 28200
6409, 11254, 17, 13000
24743, 31129, 1, 83500
19300, 31502, 2, 47100
19490, 2847, 1, 5900
42, 28919, 1, 300
15605, 4921, 1, 10000
24935, 17628, 1, 35500
11699, 503, 1, 1100
16254, 25569, 27, 41500
31741, 3918, 1, 9700
16415, 13391, 7, 27000
12043, 14177, 1, 24200
31091, 5105, 1, 10300
3208, 19454, 2, 6600
19865, 5566, 1, 11300
28579, 16236, 1, 32700
6742, 17079, 1, 13600
5731, 3172, 1, 6400
4360, 25107, 1, 11600
22842, 24413, 1, 65800
19164, 3226, 2, 9300
222, 25869, 3, 700
27969, 3919, 1, 13400
11860, 25132, 4, 38600
29341, 24913, 1, 50200
2381, 30843, 1, 4900
27454, 12547, 1, 25400
10422, 15621, 3, 21200
19091, 19563, 1, 38300
27019, 932, 1, 2000
5276, 26840, 4, 10700
10220, 968, 4, 2300
32671, 3528, 1, 7200
3698, 14964, 86, 7400
24093, 9992, 1, 20300
28611, 11657, 1, 23600
25860, 541, 1, 1300
24164, 29767, 1, 48700
8742, 15075, 3, 17800
30415, 10513, 1, 21400
14058, 23412, 6, 28600
4038, 10352, 2, 8200
11073, 13131, 3, 22300
17638, 16731, 1, 33800
27868, 10666, 2, 21400
3967, 15030, 1, 8000
20125, 3896, 1, 8200
24995, 21016, 1, 42300
7243, 13039, 1, 14600
30589, 6097, 13, 12300
5769, 15925, 1, 11700
21220, 19500, 20, 39400
27401, 7241, 1, 14600
5424, 8689, 1, 11200
31997, 28897, 1, 58100
11085, 2606, 1, 5300
4558, 25106, 2, 9300
14, 27959, 1, 200
13841, 14703, 1, 27800
10435, 29932, 1, 21100
28343, 8309, 7, 16800
16397, 19514, 1, 33100
2691, 31783, 1, 5600
25329, 30693, 3, 50900
10178, 11253, 1, 20600
1068, 11396, 4, 2200
16950, 12258, 6, 25100
2502, 17869, 1, 7300
23891, 31206, 7, 48000
26858, 17170, 2, 34600
7854, 28305, 51, 15900
13301, 27916, 1, 26800
27826, 22770, 2, 45700
20173, 2264, 1, 4600
26004, 21943, 1, 44400
15732, 15423, 3, 31400
17034, 31125, 3, 34400
16605, 1850, 5, 4000
31544, 14059, 1, 28300
13822, 30389, 1, 27800
15723, 18082, 1, 31600
27430, 29844, 2, 55300
3338, 6231, 1, 6800
24465, 22772, 1, 46000
8266, 3516, 2, 7100
8506, 8371, 1, 16800
19488, 1339, 1, 3300
15600, 27954, 6, 32100
5372, 30685, 17, 10900
29868, 12633, 3, 25700
14260, 11883, 1, 24200
12322, 12252, 2, 24700
16062, 20947, 1, 32400
23446, 11965, 1, 24200
30627, 23244, 3, 46800
10481, 1043, 1, 2100
23728, 9405, 1, 19000
26388, 24585, 3, 49600
18159, 10203, 3, 20500
25452, 30761, 1, 51500
31830, 7826, 2, 15900
2502, 30683, 1, 5200
28221, 6695, 1, 63700
13925, 23080, 5, 28100
15382, 19099, 1, 30900
28242, 4292, 2, 8800
20056, 32210, 2, 40600
29172, 7244, 4, 15200
7612, 6645, 1, 13600
24032, 31180, 4, 48400
31404, 5908, 4, 12000
19954, 2436, 2, 4900
26872, 15376, 8, 30900
13981, 21228, 1, 28200
25548, 8888, 4, 18000
26751, 18933, 3, 38100
7647, 18226, 1, 15500
29241, 31122, 171, 58400
4588, 9885, 1, 9400
21629, 14199, 1, 28600
30566, 12532, 2, 25400
15465, 17696, 1, 31200
28520, 4661, 1, 9800
14355, 534, 3, 1300
32235, 5827, 1, 14000
6501, 4974, 3, 10100
9019, 12041, 1, 18200
31531, 9362, 1, 23900
10668, 22113, 21, 21600
7274, 9540, 2, 14700
31624, 24884, 4, 50100
1523, 10463, 1, 3100
5453, 30306, 1, 11100
11833, 19168, 1, 23800
26645, 14308, 73, 71900
3936, 15526, 2, 8300
16470, 24240, 30, 33400
25494, 24694, 2, 49900
1227, 19932, 3, 3200
31654, 5570, 2, 14200
25010, 24839, 1, 50100
25546, 6827, 1, 13900
13368, 31221, 3, 27000
19137, 9924, 3, 20000
18994, 4473, 1, 9000
24354, 8985, 3, 18400
18957, 20376, 3, 38100
5872, 9072, 16, 11900
22280, 28395, 5, 44900
5486, 1230, 2, 2600
17824, 28485, 1, 35900
9013, 21821, 1, 18100
29772, 23446, 2, 47400
27779, 26829, 1, 55900
7275, 9999, 3, 14900
31190, 16345, 5, 33300
12155, 25991, 1, 24800
5818, 8843, 1, 11900
5259, 25374, 3, 10800
6879, 5538, 3, 11200
23027, 24352, 1, 46300
18798, 3187, 1, 6700
12098, 28204, 2, 24400
15005, 31790, 5, 30200
15224, 18325, 1, 30800
898, 13411, 1, 1900
9078, 520, 2, 1300
4132, 8389, 1, 10200
21682, 879, 293, 1300
25560, 22573, 1, 56300
26671, 10262, 1, 39300
13259, 7394, 1, 38100
12717, 25868, 1, 66500
4059, 12823, 1, 8400
20253, 27085, 1, 116100
3499, 10933, 1, 7100
19543, 1309, 1, 2700
10742, 5467, 1, 11400
12047, 20791, 1, 24900
21539, 10659, 17, 21400
32517, 27431, 1, 55200
22554, 23208, 6, 45600
7805, 14709, 1, 15900
6743, 29381, 11, 13600
1775, 1539, 1, 3300
23100, 7327, 1, 15700
15871, 28472, 1, 31900
28332, 32101, 1, 57000
5807, 29790, 1, 11800
12501, 17494, 1, 25200
4820, 8521, 1, 9900
2381, 21380, 1, 4900
30919, 7482, 1, 15200
21345, 26072, 1, 43000
29020, 8451, 1, 17200
2730, 22103, 1, 6000
16920, 6251, 47, 13000
30433, 27811, 1, 55900
30622, 29395, 1, 59100
18931, 21189, 1, 38000
5227, 26394, 1, 10500
25688, 6185, 1, 12800
6083, 11967, 1, 12400
13217, 26090, 1, 26600
28907, 31813, 1, 58100
24401, 18513, 1, 37200
12953, 12508, 1, 25200
14318, 12696, 2, 25600
6825, 5437, 1, 11300
7256, 6643, 1, 13500
16913, 6614, 1, 13300
18777, 24785, 1, 37800
2327, 25127, 1, 4700
18300, 21342, 6, 37100
5058, 8044, 2, 10300
27427, 31821, 1, 55000
27278, 32380, 2, 54800
6868, 8406, 2, 13900
